census_block_group,visits_wawa,visits_7_eleven,visits_starbucks
120710401221,4.0,,
120710503051,4.0,,
120710901002,4.0,,4.0
120730003031,4.0,,
120730025084,8.0,,4.0
120759705004,4.0,,
120810001012,6.0,,
120810008032,4.0,,
120810008053,4.0,,
120810008091,4.0,,4.0
120810012032,4.0,,
120810012043,4.0,,
120810014021,4.0,,
120810018002,4.0,,4.0
120810018005,4.0,,
120810019131,4.0,,
120810020032,4.0,,
120810020071,4.0,,
120810020132,4.0,,
120810020151,4.0,,
120830006023,8.0,,
120830007021,4.0,,
120830010042,4.0,,
120830010051,4.0,,
120830011032,4.0,,
120830012081,7.0,4.0,
120830025022,4.0,,
120830025032,4.0,,
120850006033,4.0,,4.0
120850006063,4.0,,
120850010001,4.0,,
120850011021,4.0,,
120860001151,4.0,,
120860001303,4.0,,
120860012044,4.0,,
120860023004,8.0,,
120860039222,4.0,,4.0
120860054091,4.0,,
120860067052,4.0,,
120860070023,12.0,,
120860084093,4.0,,
120860090343,6.0,,
120860096002,4.0,,
120860100123,4.0,,
120860127001,4.0,,
120860193001,4.0,,
120869803001,20.0,,4.0
120879703002,4.0,,
120879704003,4.0,,
120879715023,4.0,,
120879721001,4.0,,
120910220021,4.0,,
120910232002,4.0,,
120910233042,4.0,,
120939104011,4.0,,
120950123072,4.0,,
120950135071,4.0,,
120950141003,8.0,,4.0
120950151051,4.0,,
120950164081,4.0,,
120950167301,8.0,,8.0
120950168061,4.0,,4.0
120950168071,4.0,,
120950170121,6.0,,
120950171031,8.0,,4.0
120950171032,16.0,,4.0
120950171052,4.0,,
120950178042,4.0,,
120950179023,4.0,,4.0
120950182001,4.0,,
120970408011,5.0,,
120970408021,20.0,,8.0
120970408042,4.0,,
120970409011,4.0,,
120970410011,4.0,,
120970415001,4.0,,
120970419001,4.0,,
120970431001,4.0,,
120970432031,4.0,,
120970432042,4.0,,
120970438001,4.0,,
120990005113,4.0,,
120990006001,4.0,,
120990040113,4.0,,
120990048132,9.0,,8.0
120990048163,4.0,,
120990049042,8.0,,
120990055013,4.0,,
120990056022,4.0,,
120990058082,4.0,,
120990059163,4.0,,
120990068011,4.0,,
120990070072,4.0,,4.0
120990070113,4.0,,
120990072012,4.0,,
120990074101,4.0,,
120990076022,4.0,,
120990076132,16.0,,
120990077131,4.0,,4.0
120990077211,8.0,,
120990077402,4.0,,
120990077411,4.0,,
120990078373,4.0,,
120990079101,4.0,,
121010310051,4.0,,
121010312041,4.0,,
121010316031,4.0,,4.0
121010317012,8.0,,
121010321052,4.0,,
121010321062,8.0,,
121010321063,4.0,,
121010321131,4.0,,
121010330051,4.0,,
121030201011,4.0,,
121030201072,4.0,,
